Serial No.,College Name,Question,Answer
265,Amity University,"Are the Kolkata, Ranchi, and Raipur campuses of Amity University good for an MCA?","According to my fellow classmates at Amity University Raipur, they have integrated law courses offered by the University that are reliable as well as flexible. It is one of the best private universities in Raipur and elsewhere.
Category
BBA LLB
BA LLB
Total Fee
1,36,000
6,95,000
Entrance Mode
10+2
10+2
Hostel fee
60,000
60,000
Eligibility Criteria –
To get admitted to BA LLB or BBA LLB at Amity University, Raipur, you need to clear 10+2. 
The student needs to score a minimum of 50% in their Class 12.
Students who obtain 80% or more in their Class 12 are exempted from the admission process.
Students can fill in the application form online if they are eligible. An application fee of 1,100/- is to be paid. A form number and Password will be generated. With the help of this you can track your form and check if you have been selected or not. If admitted, download the Admission letter and pay the fee through the link provided.
Amity University, Raipur is one of the excellent colleges in Chhattisgarh, and it offers good education and proper placements. It is a 5 year course, the final 2 years will be dedicated solely to complete LLB."
266,IILM University,"Which university is better for a BBA, IILM Gurugram or NorthCap University Gurugram?","PIBM is the best among the given options. The following are the reasons.
PIBM is the most active B-School among all the mentioned. They have packed extra-curricular activities that develop the students holistically.
It conducts various programs and events at the campus. Some of these include providing profile-based pieces of training to the students at the time of placement season, having a corporate interface, communication & soft skills training, winter internship program, and business-oriented programs.
Industrial visits are also arranged by the institute.
The fee and placement details for the institute mentioned are below.
Criteria
RIIM Pune
PIBM Pune
IILM Gurgaon
Tuition Fee
2 Lakhs
7.95 Lakhs
14.1 Lakhs
Average Package
5.95 LPA
6.5 LPA
7.43 LPA
Highest Package
18 LPA
17 LPA
19 LPA
Overall, PIBM is an excellent choice among all. It makes the students industry-ready by developing them as per the industry demand."
267,Cambridge Institute of Technology - [CiTech],"Which engineering college should I choose between MVJ and Cambridge Institute of Technology, Bangalore?","Here are some reasons why I preferred MVJCE Bangalore over other colleges-
It has excellent hostel facilities for both boys and girls.
The campus has a good central library.
The labs are fully equipped for projects, experiments and simulations.
The college has established a partnership with Infosys to develop technical skills in the students and thus prepare them for the IT sector.
The media center at the college is well equipped.
Transportation facilities are also provided to the students.
The campus life is good as there are multiple clubs and events. 
The college has decent facilities for extracurriculars.
There is a career guidance cell as well.
The placements records are quite promising. Companies like TCS, HCL, iGate, Eurofins, Microsoft, Yahoo, IBM, SAP Labs, etc. regularly visit the campus with offers.
Thus, I would recommend you choose MVJCE over Cambridge Institute of Technology."
268,RC Patel Institute of Technology - [RCPIT],No data found,No data found
269,St. Francis Institute of Technology - [SFIT],"Which is a better engineering college - St. Francis Institute of Technology, Mumbai or Don Bosco Institute of Technology, Mumbai?","Most of the children’s choice will be engineering after their 12th grade. At that point, St. Francis Institute of Technology and Don Bosco Institute of Technology, Mumbai belong to sister concerns. Both the colleges are approved by AICTE and come under Mumbai University affiliation. St. Francis provides several scholarships to the minority community students when Don Bosco reserves 51% of seats for the minority community (Roman Catholic Community). The admission criteria for students in both the colleges will be based on JEE Main, MHT- CET, GATE, GPAT.
The table given below gives a brief overview of both the institutes:
College Name
Course Fees
Major Recruiters
Highest Salary Package
Average Salary Package
St. Francis
UG – 5 Lakhs, 4 yrs
PG –2.40 Lakhs, 2yrs
For Lateral entry – 4.2 Lakh
IBM, Infosys,HCL, Cognizant, TCS, Tech Mahindra, Wipro, Accenture, Quinnox,
15.93 LPA
3.48 LPA
Don Bosco
UG – 4.92 Lakhs, 4yrs
CapGemini, Deloitte, HSBC, Jacobs, Quinnox, Tech Mahindra, Reliance Retail
12 LPA
3 LPA
To enhance students’ communicative and extracurricular skills both the colleges offer literary clubs and certified courses. When it comes to teaching methods both the colleges provide lab facilities, seminar rooms and counseling cells for student’s development. However, students can choose the college which is nearer to their home to avoid spending time on travelling, because both the colleges’ flood with a lot of assignments."
269,St. Francis Institute of Technology - [SFIT],"Which college should I choose: IT at St. Fransis Institute of Technology-Mumbai, computer & communication engineering at LNMIIT-Jaipur, or IT at Maharaja Surajmal-Delhi?","Maharaja Surajmal Institute of Technology has been ranked 18th for Private Engineering by India Today Rankings 2020. The college offers B.Tech in Information Technology as a four-year course. The fees for the same is 4.69 Lakhs for the full period.
St. Fransis Institute of Technology is affiliated to the University of Mumbai. The college offers B.Tech in Information Technology as a four-year course. The fees for the same is 5 Lakhs for the full period.
LNM Institute of Technology (LNMIIT) is a deemed university and has been recognized by UGC and approved by AICTE, ARIIA and AISHE. It has been accredited ‘A’ grade by the NAAC. The college was ranked 57th for private engineering by India Today and 77th for Engineering by The Week. The college provides Communication & Computer Engineering as a four-year course at a fees of 12.36 lakhs.
Admission Procedure
MSI:The minimum eligibility criteria for the course is having cleared 10+2 examinations with 50% aggregate. Further, students are selected on the basis of rank secured in IPU-CET, the common entrance examination for IPU colleges. The course has a total of 180 seats available.
SFIT: The minimum eligibility criteria for the course is having cleared 10+2 examinations with 50% aggregate. Further, students are selected on the basis of rank secured in MHT-CET. The college offers 120 seats for the course.
LNMIIT: The eligibility criteria for candidates for ECE is 60% marks in their 10+2 examinations. Candidates are further selected on the basis of their score in JEE Main. The college offers 120 seats for the course.
Infrastructure & Facilities
MSI:
The college is built over an 8-acre campus and is home to a well-equipped library which includes journals, study material, magazines and various e-learning facilities. 
The college provides boys and girls hostels and sporting and art & cultural facilities available. 
Other facilities such as an auditorium, gym, and cafeterias are also available to the students.
SFIT:
The college is built over a 5-acre campus and provides in-campus hostels. 
Sporting facilities, laboratories, cafeterias, gym facilities, and shuttle service for students is provided by the institute.
LNMIIT:
The college is built over a massive 100-acre campus and provides in-campus hostels. 
Sporting facilities, laboratories, cafeterias, a gym, Wi-Fi facilities, recreation rooms, medical facilities and shuttle service for students is provided by the institute.
Placements
MSI:The course has a placement rate of 80%. Top recruiters include Wipro, TCS, Amazon, Infosys and Google. The average offer received by students is 5LPA. The highest package goes up to a whopping 20LPA.
SFIT: The course has a placement rate of 80%. Top recruiters include L&T, Capgemini, TCS and Wipro. The average offer received by students is 3.5LPA. The highest package goes up to 14LPA.
LNMIIT: The course has a placement rate of 95%. Top recruiters include Amazon, Oyo, Uber and Adobe. The average offer received by students is 10LPA. The highest package goes up to a whopping 36LPA.
All 3 colleges stand toe-to-toe with one another, being the top private MBA institutes in the country. The colleges have a similar admission procedure. LNMIIT has a bigger campus, costlier fees structure, better placement packages, and rankings compared to the other two. However, MSI and SFIT are much cheaper and provide decent placements. A choice among the three depends upon the importance of each parameter for the student."
270,ICFAI University,What is your review of ICFAI University Tripura?,"ICFAI University, Tripura is a private higher education institution officially accredited by the UGC. It is a very small coeducational institution. They offer good programs for both working professionals as well as to the students willing to do their distance MBA.
The academic programs at ICFAI are offering flexible learning programs to their master degree. MBA with 16 most demanded specializations.
These MBA flexible features include:
Specially Designed course for self study for distance learning, the study material should be easy to read and understand.
They will provide hard and soft copies of study material and their unique hub and spoke material, no other university provides these.
ICFAI exams will be conducted 4 times in a year.
The exam is a computer based test and multiple choice questions.
ICFAI case studies are used in universities in other countries, so the educational standard is high.
ICFAI University, Tripura offers courses and programs officially recognized higher education degrees such as pre-bachelor degrees which includes: certificates, diplomas, associate or foundation degrees, along with bachelor and master degrees in various areas of study."
270,ICFAI University,What is the transcript process for ICFAI Tripura?,"ICFAI had the objective of empowering citizens through quality education. It has 11 Universities across India. It is recognised by UGC (United Grants Commission) and DEB (Distance Education Board).
The primary objective of the program is to develop business leaders. You will get to handle the wide range of challenges in managing organizations. Students opting for this program can specialize in their own field of Interest which will give their career a push forward.
Any graduate with a 3 years experience or a diploma with 5 years of experience are eligible for admission. The MBA program can be completed in 24 months.
Students can choose from Finance, Investment Management, Strategic Finance, Risk Management, Global Markets, Marketing, Healthcare Management, Retail Management, Operations, HR, etc. A 2 year program will cost you INR 65,000."
270,ICFAI University,Is it worth doing MBA from ICFAI Tripura University from Mumbai?,"First you have to go to the university and visit the Transcript department and collect application forms. Then fill in the details mentioned and you have to pay a fee for them through Demand Draft (DD) in the name of University. 
Take a colored photocopy of the degree and marksheets and then pin it with the form and apply. 
They may take around 30 working days to get Transcript ready. The best option is to use the Uttarika service if you are not a local."
271,Atharva College of Engineering,"Which college is better for CSE or IT engg., Vidyalankar Institute of Technology or Atharva College of Engineering?","Atharva College of Engineering is a better option for IT students. Studying here I have received the best education. They provide the best infrastructure, accommodation facilities and have a very cooperative faculty.
Categories
Thakur
Atharva College
Course Fee
4.96-5.9 lakh
4.8-5.08 lakh
Placement Percentage
77%
100%
Highest CTC
9 LPA
10 LPA
Average CTC
4 LPA
5-6 LPA
Here is why you can opt for Atharva - 
The Atharva College of Engineering has the best faculty. Every professor is skilled and professional in their respective department. 
The infrastructure it provides is incomparable. It offers a swimming pool, auditorium, robotics lab, computer lab, iMac lab, hostel facilities. All the amenities are available on-campus.
The atmosphere of the college is welcoming and friendly to the students. Therefore, you do not feel lonely here. Every function and festival is celebrated on-campus. 
The placement cell of Atharva College of Engineering is reputed. Companies like Tata Communications, Chegg India Pvt. Ltd., TCS, Accenture, L&T, HDFC, Reliance Retail, Cognizant hire students from campus placements.
In terms of education, Atharva College of Engineering is better with its skilled faculty who are ready to help you in every way. As the college infrastructure and placement cell are promisable, you can choose Atharva over Thakur."
272,Don Bosco Institute of Technology - [DBIT],Is the Don Bosco engineering college in Mumbai good? Which engineering college is best in Mumbai?,"Yes, Don Bosco Engineering College in Mumbai is good both in terms of academics and placements. It is a private institute located in Mumbai and affiliated to Mumbai University. Don Bosco offers Bachelor of Engineering programs in the below-mentioned branches:-
Computer Engineering.
Information and Technology.
Mechanical Engineering.
Electronics and Telecommunication Engineering.
The candidates should qualify 10+2 to be eligible for engineering. The admission is based on the score in JEE. The course curriculum is approved by AICTE. The faculties are well-qualified and experienced in their respective fields.
The placement cell of the institute organizes many training sessions like mock GD sessions, skill training, aptitude training, etc. The placement statistics reveals around 75% of the students get placed in many reputed MNCs each year. Capgemini, Infosys, TCS, NSEIT, Justdial are the few companies that visit the campus for recruitment. The average package offered ranges between INR 3.4 LPA to 12 LPA.
Mumbai is known as an IT hub of India and has some of the best engineering universities. The top ten engineering colleges in Mumbai are as follows:-
Indian Institute of Technology, Bombay.
Thakur College of Engineering and Technology, Kandivali.
Veermata Jijabai Technological Institute, Matunga
Sardar Patel Institute of Technology, Andheri.
K.J. Somaiya College of Engineering, Vidyavihar
D.J. Sanghavi College of Engineering, Vile Parle
Rajiv Gandhi Institute of Technology, Andheri.
Vidyalankar Institute of Technology, Wadala.
Fr. Conceicao Rodrigues Institute of Technology, Bandra.
Atharva College of Engineering, Malad."
272,Don Bosco Institute of Technology - [DBIT],"Which is a better engineering college - St. Francis Institute of Technology, Mumbai or Don Bosco Institute of Technology, Mumbai?","Most of the children’s choice will be engineering after their 12th grade. At that point, St. Francis Institute of Technology and Don Bosco Institute of Technology, Mumbai belong to sister concerns. Both the colleges are approved by AICTE and come under Mumbai University affiliation. St. Francis provides several scholarships to the minority community students when Don Bosco reserves 51% of seats for the minority community (Roman Catholic Community). The admission criteria for students in both the colleges will be based on JEE Main, MHT- CET, GATE, GPAT.
The table given below gives a brief overview of both the institutes:
College Name
Course Fees
Major Recruiters
Highest Salary Package
Average Salary Package
St. Francis
UG – 5 Lakhs, 4 yrs
PG –2.40 Lakhs, 2yrs
For Lateral entry – 4.2 Lakh
IBM, Infosys,HCL, Cognizant, TCS, Tech Mahindra, Wipro, Accenture, Quinnox,
15.93 LPA
3.48 LPA
Don Bosco
UG – 4.92 Lakhs, 4yrs
CapGemini, Deloitte, HSBC, Jacobs, Quinnox, Tech Mahindra, Reliance Retail
12 LPA
3 LPA
To enhance students’ communicative and extracurricular skills both the colleges offer literary clubs and certified courses. When it comes to teaching methods both the colleges provide lab facilities, seminar rooms and counseling cells for student’s development. However, students can choose the college which is nearer to their home to avoid spending time on travelling, because both the colleges’ flood with a lot of assignments."
273,GNIOT Group of Institutions - [GNIOT],What is the criteria for getting admission in gniot bcom,"Galgotias University is better compared to GNIOT. It offers better placements and career opportunities. Around 19 recruiters took part in Galgotias University placements 2022. Deloitte, EY, Jellyfish Technologies, etc. are some of the major recruiters that took part in the placement drive. The salary packages offered were in the range of INR 4.20 LPA - 22 LPA."
273,GNIOT Group of Institutions - [GNIOT],"Which is a good college, Galgotias or GNIOT?","NIET would be a better option than NIT Agartala. NIET is accredited by NAAC. NIET boasts an impressive track record and holds high rankings across various metrics, solidifying its reputation as a promising educational institution. The reasons for choosing NIET are as follows:
Ranking: NIET ranked 101 among the top engineering colleges of India.
Placement: This year in campus placement of NIET, the highest package offered was INR 58 LPA and an average package of INR 5.76 LPA. Top recruiters like Amazon, Deloitte, Capgemini, E&Y, Microsoft, Infosys, HCL, etc. visited the campus for placement.
Infrastructure: The hostel rooms at NIET have great high-speed internet access. Almost every sort of resource is available. Campus life and dorm life are excellent.
Alumni: Abhishek Tyagi (Graduate Engineer Trainee, CAP Gemini), Rishabh Tiwari (Graduate Engineer Trainee, Hyundai Motors), etc. are a few notable alumni of this organization.
NIET offers a compelling opportunity for a solid academic foundation, good placement statistics, and a dynamic learning environment that is ideal for being a better choice than NIT Agartala."
274,Jeppiaar Engineering College,Which one is better valliammai engineering college or jeppiar engineering college?,"Valliammai Engineering College (VEC) is affiliated by Anna University and approved by AICTE. It provides both undergraduate and postgraduate courses. 
Jeppiaar Engineering College is a self-financed institute approved by AICTE and is affiliated to Anna University. It has the best academic facilities and world-class sports facilities. It offers both undergraduate and postgraduate courses.
Tabulated below is a brief about the institutes:
Categories
Valliammai Engineering College
Jeppiaar Engineering College
Entrance Exam
TNEA, TANCET
TNEA, TANCET
Cut Off
5575-9862
6037-9489
Course Fee
92,000
60,000
Placement Percentage
89%
70%
Admission Requirements 
Candidates should have 50% in their 10+2 qualifying exam with Physics, Chemistry and Mathematics are compulsory for BTech and BE applicants.
ME, and MCA applicants will be selected on the basis of TANCET or GATE scores.
MBA applicants will be selected by TANCET and CAT scores.
Placement Highlights
Valliammai Engineering College 
More than 30 companies participated in the recruitment drive wherein 416 students got placed.
The highest package offered to the students was 3.25 LPA whereas the average salary was 2.08 LPA.
The top recruiting companies are Accenture, Wipro, TCS, Infosys, IBM, L&T, Bosch, NTT Data, Covenant Technologies, Newgen Software Technologies, Maestro Steel Detailing, etc.
Jeppiaar Engineering College
Out of 528 students 358 students were placed.
The top recruiting companies include Capgemini, Global Logic, Infosys, Mindtree, NTT Data, Odessa Technologies, Wipro, Zoho, etc.
Students received the highest package of 5 LPA whereas the average salary was 3.5 LPA.
Both colleges are well equipped with all the necessary facilities like transportation, library, sports, cafeteria, medical facilities, conference halls, laboratories, Offices, Department libraries, etc.
There are separate hostels for boys and girls with an occupancy of 1200 students at Valliammai Engineering College. Jeppiaar Engineering College has a gym, mess and an indoor stadium in the hostel."
275,Karpagam College of Engineering - [KCE],No data found,No data found
276,KIET Group of Institutions - [KIET],No data found,No data found
277,PES College of Engineering - [PESCOE],No data found,No data found
278,Raghu Engineering College - [REC],No data found,No data found
279,Symbiosis Institute of Technology - [SIT],Should I join Symbiosis Institute of Technology Pune for CS even if I get MIT Pune and VIT Pune?,"There are several parameters to compare the two colleges. Some of these are-
Brand- Symbiosis is a brand in India. Any college under Symbiosis International University automatically gets the tag of a good college. VIT Pune is also a well known brand which was established much before SIT. VIT Pune was established in 1983 while SIT came into existence in 2008.
Placements- VIT Pune has a better placement scenario. As far as SIT is concerned, CS/IT and ENTC have an average placement record. On the other hand, Mechanical and Civil have a low placement rate. But the fact is that Mechanical is facing placement shortage at present.
Crowd- The SIT campus has a diverse crowd. It caters to students from all over India, and NRIs. VIT is mainly preferred by students of Maharashtra and its neighboring states.
Infrastructure- Both the colleges have good classrooms and laboratories.
Faculty- I don’t know much about VIT, but the faculty of SIT is highly qualified.
Campus- The SIT campus is located far from the city, but it is huge and has a scenic view. The campus is beautiful and has all the sports facilities.
Both the colleges are equally good. You may choose any of them on the basis of their location, crowd and other factors."
279,Symbiosis Institute of Technology - [SIT],"Which is better, Manipal University Jaipur or Symbiosis Institute of Technology Pune?","One of my friends studied at Symbiosis, so I might be able to help you with the question.
The campus is lovely, and in terms of life experience.
There's no better college to associate with such a diverse group of people, including international exchange students as well.
But, if you're concerned about your academics, then it’s a bitter truth for you. Most of the colleges in India only provide you with a syllabus and the rest is all self-study. Symbiosis is no exception.
Though, if it's any consolation, the CSE placement scene is pretty decent in Symbiosis. Getting an internship is considerably easy here.
Categories
Symbiosis Institute of Technology
Course Fee
6.75-10.6 lakh
Placement Percentage
75-85%
Highest CTC
22 LPA
Average CTC
8-10 LPA
Recruiting Companies
Amazon, Google, Tech Mahindra, HCL, etc.
If you want to live a joyful life, it takes a lot of effort to do it here. If you want to research and think college would support you, then that won’t happen. You won’t get any sort of support from the college. But Symbiosis will give you enough industrial exposure."
280,Terna Engineering College Navi Mumbai,No data found,No data found
281,Vivekanand Education Society Institute of Technology - [VESIT],Which one is better: the K.J. Somaiya College of Engineering or the Vivekanand Education Society's Institute of Technology?,"Established in 1984, Vivekanand Education Society’s Institute of Technology is a prestigious Institute offering 11 courses for Degrees in Full-Time mode. There are a total of 834 seats in VESIT. Here is the discipline-wise intake of VESIT
BE/BTech
660
MCA
120
ME/MTech
54
Total
834"
281,Vivekanand Education Society Institute of Technology - [VESIT],Which engineering college is better KJ Somaiya or VESIT?,"This is really easy to choose and without any doubt, KJ Somaiya College of Engineering should be preferred to VESIT. The reasons are as follows.
KJ Somaiya College of Engineering is an autonomous college affiliated to the Somaiya Vidyavihar University while VESIT is affiliated to the University of Mumbai and is not autonomous. Being an autonomous institute has its own advantages. Also, the University of Mumbai course curriculum is not up to the standards.
The placements of KJ Somaiya College of Engineering are much better than VESIT. Take a look at the comparison table below.
Institute KJ Somaiya College of Engineering VESIT
Highest salary INR 18.75 lakhs per annum INR 14 lakhs per annum
Number of companies visited 104 25+
Number of offers made 655 317
Apart from that, KJ Somaiya College of Engineering offers one of the best campuses in the Mumbai region with amazing sports facilities which very few campuses in Mumbai can match.
Companies like ZS Associates and Morgan Stanley organize hackathons at the college which offer chances to convert internships.
All these factors make KJ Somaiya College of Engineering a much better engineering college to pursue CSE."
281,Vivekanand Education Society Institute of Technology - [VESIT],"Which college is better, VESIT Mumbai or VIIT Pune?","Yes IT and CS are both similar in nature. There is no such difference in the curriculum as well. Both the streams get equal job and placement opportunities. Even the mechanical students learn to code for getting placements.
KJ Somaiya is an autonomous institution and you will get an advantage due to this. The placements at KJ Somaiya are much better than VESIT.
The placement statistics of KJ Somaiaya is as follows:
Highest CTC offered
INR 40 LPA.
Average CTC offered
INR 5.71 LPA.
No of companies visited
64
No of IT students places
160
No of CSE students placed
157
Both the IT stream and CS streams get similar kinds of positions in the market. You should definitely go for IT from KJ Somaiya College."
282,Sreenidhi Institute of Science and Technology - [SNIST],Should I prefer Sreenidhi or GRIET?,"My brother was a student of GRIET so I can very easily provide you with the overall description of the institution which I hope would help you in making the right decision for your career.
The faculty members are experienced and extremely knowledgeable in their respective fields.
You would have the option to work on several projects during your college with the help of the faculty members.
If you wish to learn a lot about the domain of engineering then your skills would improve significantly at this college.
In Hyderabad, the job opportunitiesoffered by the recruiters have the first priority CBIT followed by GRIET. So, you also get the option to explore your interests and hobbies.
The alumni network of GRIET is also very good through which you can get referrals in many fields and use the network for help in critical situations.
Categories
GRIET
Sreenidhi (SNIST)
Course Fee
4.88 lakh
5.2 lakh
Highest CTC
15 LPA
11 LPA
Average CTC
4 LPA
2.8 - 3 LPA
Recruiting Companies
TCS, Tech Mahindra, etc.
TCS, Infosys, etc.
The resources offered by the institution cannot be compared with those than any other college in Hyderabad provides to its students. You can easily get a lot of benefits for placement purposes from the college. Other than academics, GRIET has many clubs for Management, Techno-Management, Music, Arts, social services, and many more."
282,Sreenidhi Institute of Science and Technology - [SNIST],"Which college is better, GRIET or Sreenidhi?","One of my close friends is a former student of B.Tech at SNIST and she had a very nice experience there. Based on the interaction I had with her, here are some of the insights she shared with me that might be helpful:
In SNIST, all the faculty members are highly qualified and well experienced in their particular field. They are cooperative and helpful.
For core knowledge and preparing for government jobs, GATE, etc. SNIST might not be a good choice.
GRIET, unlike SNIST, has a mix of good and bad faculty members. It also has a high concentration on robotics and microcontroller programming.
Particulars
SNIST
GRIET
Highest Package Offered
14.5 LPA
41.60 LPA
Average Package Offered
4 LPA
5.05 LPA
Top Recruiters
Deloitte, Capgemini, Infosys, Tech Mahindra, etc.
Microsoft, Amazon, Adobe, TCS, etc.
She had a great experience at SNIST. However, if you have any seniors from GRIET, do take their advice before making a final decision."
283,Paavai Engineering College (Autonomous),No data found,No data found
284,Assam Don Bosco University - [ADBU],No data found,No data found
285,RK University - [RKU],No data found,No data found
286,Baddi University of Emerging Sciences and Technologies - [BUEST],No data found,No data found
287,Sai Nath University,No data found,No data found
288,GITAM,"How is Reva, Amrita, Jain, and GITAM? Which is the best university in Bangalore?","REVA University is the best option among these. It offers good academics, facilities, and placement opportunities. The university follows a well-designed curriculum. Equal emphasis is given to both theoretical and practical learning. The faculty members of the institute are well-experienced and have years of experience in their niche field. 
REVA university placements are decent. During the 2021 placement drive, students received an average CTC of INR 5.5 LPA - 6 LPA. While the highest CTC offered was INR 24 LPA."
288,GITAM,"Which is better: SRM, HINDUSTAN, SASTRA, GITAM university?","I am a student at SRM, so I will tell you particularly about my university.
SRM is a highly-graded university with experienced faculty, rich academics, and a good campus life. My experience of SRM has been quite pleasant up till now. You’ll learn a lot at this place, and develop excellent communication skills. You’ll be given good projects. 
This university has a highly diverse population and a multidisciplinary approach to studies. It has a good reputation and a decent placement record. IT and CSE students get on-campus placements for sure. However, for Aerospace, only 1 or 2 companies visit the campus with job offers. Companies like Byjus and Jaro Education offer around 13 LPA and are open to all engineering branches. 
I would personally recommend SRM for your studies as it offers an all-around development with decent placements."
289,Yenepoya University,No data found,No data found
290,DAV University,"Which one is better, DAV University Jalandhar or DAVIET Jalandhar?","Both Avantika University or G.D.Goenka Universityare not mainstream design colleges. It is suggested not to opt for any of the colleges as they are primarily engineering-based and design is the third priority.
The present status of the design department is on the verge of collapsing in both of the institutions. They almost got shut down last year. The number of students was very less and the existing students shifted elsewhere.
Rather than going to Avantika University or G.D.Goenka, you can go to other colleges such as the World University of Design and MIT Pune. These are the institutes you should be joining if you are looking forward to pursuing Designing. Both are mainstream design universities and way better than what you are thinking of."
290,DAV University,"Which is better, DAV University, Jalandhar or Chandigarh University (CU)?",No answer text
290,DAV University,How is a bachelor's degree in journalism from DAV University Jalandhar?,"I have a few friends from DAV University in Jalandhar and they were able to give some insight regarding the Bachelor’s degree in journalism.
The teachers are excellent and are very well versed in this field who will impart their best experience to the students.
The Head of Department (HOD) Mr. K.K Rattu is a very experienced professional who has served more than 30 years at the Doordarshan network.
The department has 3 DSLR cameras for still photography, a professional video camera, microphones, sound systems, and all other equipment required.
So yes it is a pretty good institute to study Journalism."
291,Pacific University,No data found,No data found
292,ICFAI University,How is ICFAI University Dehradun?,"ICFAI University Dehradun has been ranked 44 amongst other universities in the world for being an 'Innovative University' in the World Universities with Real Impact (WURI) category ranking of 2020. It is also ranked 13th by IIRF and 2nd by Education World Higher Education.
It offers 12 Undergraduate, Postgraduate, Research, and Diploma programs in Law, Business Administration, Computer Science, Commerce, and Education. ICFAI University is also sponsored by the Institute of Chartered Financial Analysts of India (ICFAI).
ICFAI University Dehradun is one of the best for MBA, Law, and BTech with a placement average of 99%, 90%, and 90% respectively. Here are some other important facts about ICFAI University.
Admission Process:
Students can take admission on the basis of merit with 60% marks in 10+2 and 60%-75% marks in graduation, depending on the program.
The qualifying exams are any of CLAT/LSAT/CAT/ITSAT.
ICFAI University MBA requires students to have 50% marks in graduation and interview qualification.
Infrastructure:
ICFAI has a library, an IUD campus, an IT lab with 350 personal computers, sports and recreation facilities, canteen, and seminar halls.
Fully furnished off-campus hostels are available as ICFAI partners with WiFi, transportation, and dining facilities.
There are about 20-49 faculty members in the different ICFAI schools with a UGC Net or Ph.D. qualification. Students have rated the faculty a 7.5 on 10.
Placement:
ICFAI University Dehradun conducts its placements throughout the academic year, the B.Ed placements for the batch of 2018-2020 are still in progress.
The overall placement average for the institute is 80-100%.
According to ICFAI Business School (IBS) Dehradun, the average package offered to the class of 2020 was INR 5.41 LPA and the highest CTC was 12.40 LPA.
Similarly, the ICFAI Law School Dehradun saw a 90% placement and the B.Ed program saw 100% placement. The highest package offered at ICFAI ITS was INR 18 LPA and that offered to ICFAI ILS was INR 5.4 LPA.
The major recruiters in 2020 have been Cambrian Hall, The Indian Academy, Pestleweed College, TCS, Amazon, BYJU's, ICICI Bank, and Times of India amongst more than 150 others.
The university is situated 22 km away from the city in an isolated place called Selaqui. Students must choose the facts listed and according to the returns offered by a program."
292,ICFAI University,"How is ICFAI university, Dehradun for law?","ICFAI University Dehradun has an overall placement record of 90%-99% for the BTech program. ICFAI Tech School saw over 90 companies visit in 2020 which included names like Indian Air Force, Accenture, Airtel, Apollo Tyres, Aerosoft, and Broadridge.
The top recruiters at the institute include Hitachi, Amazon, TCS, BYJU's, and Nihilent Technologies.
Placement Years
2017-2018
2019-2020
Number of Companies visited
37
96
Highest Package Offered
INR 27 LPA
INR 18 LPA
Average Package Offered
INR 4.5 LPA
INR 3.4 LPA
Some of the major recruiters for the academic year 2018-19 was ABC Bearing Ltd Dehradun, Agilent Technologies, Amrapali Constructions, Andritz Hydro Pvt Limited, Arvind Limited.
For the year 2019-20, the companies visited the campus for placements were 3i Infotech, Accenture, Amazon, Aerosoft, and TCS.
Placement Highlights
More than 5500 of ICFAI Tech School's graduates are working with MNCs all over the world.
ITS has over 100 recruiting partners and internship stations all over the world.
ICFAI Tech School offers industry-oriented programs like Computer Science Engineering, Data Science and Artificial Intelligence, Mechatronics Engineering, etc.
The Institute offers 7 and a half months internship opportunities to all BTech students.
In 2018, the Code Company offered INR 27 LPA which was the highest package offered to the batch of 2017-18. Hitachi offered an average of INR 8.5 LPA.
ICFAI University Dehradun's Tech School is known for its good placement record, which was around 90% for 2020. It was the top department to get the highest package of INR 18 LPA in comparison to ICFAI University's Business School which received INR 12.4 LPA as the highest package and Law School with a package of 5.4 LPA."
