Serial No.,College Name,Info Data
371,Trichy Engineering College - [TEC],"Trichy Engineering College was established in the year 1998 by Annai Santhiya Educational Health & Charitable Trust. It is an AICTE accredited private college affiliated to Anna University, Chennai. The institute offers UG and PG under engineering departments. For UG courses, it offers Bachelor of Engineering in 6 specializations and for PG courses, it offers Master of Engineering in two specializations."
372,JSS Academy of Technical Education - [JSSATE],"JSS Academy of Technical Education (JSSATE) Noida, established 1998 is a private institution approved by AICTE and affiliated with AKTU. JSSATE is a NBA recognized institute and has been ranked 17th among the NIRF-ranked colleges in UP in 2022 and has secured the rank of 251-300 in the overall category. Outlook India ranked JSSATE Noida on 68 out of the 160 Private colleges in India. JSSATE offers courses such as B.Tech, MTech, MCA, and MBA. Students are admitted based on the scores of the entrance exams such as JEE MAIN, GATE, CAT, and MAT, followed by UPTAC counseling. Check"
373,Vaagdevi College of Engineering - [VCOE],"Vaagdevi College of Engineering (VCE Warangal) is a 20-year old institute placed among the top engineering colleges in Telangana. Vaagdevi College of Engineering, Warangal offers a total of 21 courses across three streams, that is, Engineering, IT Software, and Business Management, and across four degrees, B.Tech, M.Tech, MCA.and MBA. Admission to all the courses is entrance-based through various national level examinations such as TS EAMCET/ JEE, TS-PGECET, TS-ECET, and GATE. Application mode of the college is both online as well as offline. Graduates from the college are placed in top-notch companies with a salary package of INR 10 LPA."
374,Jharkhand Rai University - [JRU],"Jharkhand Rai University (JRU) is the only NAAC-approved University in Jharkhand offering Undergraduate, Postgraduate, and Diploma courses in the fields of Engineering, Computer Application, Management, Pharmacy, Agriculture, and Law. Graduates from the university are placed in well-reputed companies such as Kotak Mahindra Bank, Indigo, Havells, Faurecia, Big Bazaar, Canara Bank, Pantaloons, Assocham, Axis Bank, Anand, Ashok Leyland, etc."
375,Shridhar University,"Shridhar University is a self- financed University which was established by the Government of Rajasthan in 2010. Located in Pilani, Rajasthan, the University offers a total of 25 courses across 8 different streams. Admissions to technical courses like B.Tech, M.Tech, MBA are mainly on the basis of the online entrance test of Shridhar University, JEE Mains, CAT and GATE, however admission to non-technical courses like B.Sc, M.Sc are merit-based. Application form for admission to the programs offered by Shridhar University can be filled in both online and offline format."
376,University of Engineering and Management - [UEM],"University of Engineering & Management (UEM) Jaipur is a state-private university established in 2012. UEM Jaipur is accredited by NAAC and approved by AICTE & UGC. The institute is ISO certified and holds the membership of IAP, AIU, ACU UK, and IAU France. UEM Jaipur has been ranked in 1st position in North India by the Ministry of Education, Government of India under the Institution’s Innovation Council. Further, IEM UEM group has been awarded in the category of “Best Placements - Domestic and International” by Zee 24 Ghanta, 2024. The University has earn i.e.: 75 in Rajasthan by the Govt. of India for research patents under the . UEM Jaipur is the only university in Rajasthan having approved Center by Cambridge University, United Kingdom, for Linguaskill Certification to its students."
377,Amrita Vishwa Vidyapeetham,"Amrita Vishwa Vidyapeetham or Amrita University is a private deemed-university located in Coimbatore, India. It is a NAAC A++ accredited university and the 7th best university in India as per the NIRF Rankings 2024. AVV is a multi-campus, multi-disciplinary university with 15 schools spread across six campuses in the southern part of India. At present, AVV is offering 207 UG, PG, Doctoral, Integrated, Dual-Degree, and certification programs in Engineering, Management, Medical & Life Sciences, Arts & Humanities, and Social Sciences."
378,International Institute of Information Technology - [I²IT],"International Institute of Information Technology (I²IT) Pune was established in the year 2003 as a world-class academy to impart high-end education in Engineering and Technology. I²IT is an Undergraduate Engineering Institute approved by AICTE, New Delhi, recognized by the Directorate of Technical Education (DTE), Govt. of Maharashtra and is affiliated to the Savitribai Phule Pune University. I²IT is accredited by the National Assessment and Accreditation Council (NAAC) with B++ Grade in Accreditation Cycle 1."
379,CMR Engineering College - [CMREC],"CMR Engineering College is one of the top 10 Engineering colleges of Hyderabad and an UGC Autonomous institution which was established in 2010. It is approved by AICTE, affiliated to JNTU, Hyderabad, and has been accredited by NIRF and NBA. CMREC is ranked with an ‘A’ grade by NAAC and is also rated 5-star under Institution Innovation Council, Ministry of Education, Govt of India & Achieved ARIIA Ranking. The college has also received 80+ awards including “Best Education and Development Award” by Central Institute of Tool Design, “Best Students Chapter Award” by ISTE and “Best Student Forum Award” by Institute of Electronics and Telecommunication Engineering. CMR Engineering College is also ranked at the 22 position under “Top Emerging Private Engineering Colleges” Category in India and 20  among the “Top Private Engineering Colleges” category in Telangana by The Week."
380,Lingaya's Vidyapeeth,Lingayas Vidyapeeth is a Deemed to be University established under the aegis of Lingaya's Group. It was established in 2009 with the approval of AICTE and MHRD. Lingayas Vidyapeeth is an upadation of Lingaya's Institute of Management and Technology [LIMT]. The institute has received accreditation from NBA and NAAC.
381,Matrusri Engineering College,"Matrusri Engineering College, Hyderabad was established in 2011. It is a private autonomous college affiliated to Osmania University and welcomes nearly 600 students each year. The college offers courses in Civil Engineering, Computer Science and Engineering, Electronics and Communication Engineering, Electrical and Electronics Engineering, Information Technology and Mechanical Engineering. The UG programs in engineering have been accredited by NBA in 2019. The college follows the EAMCET counseling procedure to admit students for its courses."
382,Vemana Institute of Technology,"Vemana Institute of Technology was established in the year 1999 on a 5 acre land in the IT centre of India, Bangalore. It is recognised by the Government of Karnataka, approved by All India Council for Technical Education ( AICTE) , New Delhi and affiliated to VTU, Belagavi, Karnataka. It offers five UG courses with 600 intake and three PG courses. It also has 5 VTU approved research centres."
383,SRM University Delhi NCR,"SRM University, Delhi NCR Sonepat, Haryana is a full-fledged University established by the Haryana State Government under the Private Universities Act, 2006 with all the privileges and pride to exist and expand into a world-class University. SRM Group of Institution is a pioneer with over 5 decades of expertise in education. The Group has 4 Universities & 24 institutions all across India delivering quality education, pioneering research, and
comprehensive student development. The University is approved by the Department of Science and Technology (DST), Govt. of India to conduct ‘INSPIRE’- Internship Science Camp & Regional Innovation Science Hubs for Innovators (RISHI) program and Scientific and Industrial Research Organisation (SIRO). SRM embraces on experiential learning, a choice-based credit system, and live projects, providing students with practical exposure and a holistic educational experience."
384,SRM University Sikkim,"Shri Ramasamy Memorial University - [SRM], Sikkim at Gangtok is a private university established in the year 2013. The university was established under Shri Ramasamy Memorial University, Sikkim Act 2013. It is affiliated by UGC and NAAC-B. It is also placed in the A category by the Ministry of Human Resource Development."
385,The Northcap University - [NCU],"The Northcap University has been ranked as the best private University located in Gurgaon, Haryana. It is ranked amongst the Top 100 institutions in the All India NIRF Ranking 2022. The University has also been ranked in the 151-200 band, for the 4th consecutive year in the All India NIRF Ranking 2022. In the NIRF 2022 ranking and accredited by NAAC A Grade.  The Northcap University is ranked at 96th in the Engineering category, and in the University category, it is in the rank band of 151-200."
386,LNCT University - [LNCTU],"LNCT University (LNCTU), Bhopal is a private university established in 2015 and approved by UGC, AICTE, MCI, BCI and ICAR. The university offers various undergraduate, postgraduate and doctoral programs in disciplines of Engineering, Management, Pharmacy, Medical, Ayurveda, Agriculture science, Journalism & Mass Communication, Sports, Paramedical, Law and other recurring professional studies."
387,Jaipur Engineering College and Research Centre,No data found
388,Avantika University,"Avantika University, established in the year 2017, is a private university based in Ujjain, Madhya Pradesh. It is India’s first designed Centered University, promoted by MIT Group of Institutions, Pune, which has a proven legacy of 40+ years in the field of higher education. The university is approved by the UGC and is a state-private university established through an Act of Legislature of the State of Madhya Pradesh in the Union of India. Avantika University is recognized by Madhya Pradesh Private University Regulatory Commission (MPPURC) Bhopal and is a member of Association of Indian Universities (AIU)."
389,Dayananda Sagar University - [DSU],"Dayananda Sagar University is a private university established in 2014 in Bangalore, Karnataka. Dayananda Sagar University is approved by UGC and AICTE. It is accredited with NAAC “A+” Grade. The university has two campuses that offers different courses for higher studies. The first campus is called Harohalli Campus and the second campus is known as the DSU, City Innovation Campus. The main campus of DSU Bangalore is spread across 130 acres. Dayananda Sagar University is ranked 41st under the “Management” category by IIRF 2024 and 13 under the “Engineering” category by IIRF 2023."
390,C. U. Shah University,"C U Shah University located at Wadhwan is one of the best educational organizations in the Saurashtra region of Gujarat. It is a state-private university that is spread across 60 acres of land. It is well recognized by all statutory and regulatory bodies like UGC, AICTE, PCI, BCI, MHRD, NCTE, INC, DET and the Government of Gujarat. This University is also a member of the Association of Indian Universities (AIU). University is run by Vardhman Bharti Trust and is named after Chimanlal Ujamshibhai Shah ( C U Shah). Many constituent colleges and courses of the university are NAAC, IE, CSI, ASQ, TCS accredited, certified and recognized."
391,Techno Main Salt Lake,"Techno Main Salt Lake, Kolkata, one of the top institutes under the eminent Techno India Group, was established in 2001. Situated in Kolkata, the IT hub of the East, this institute offers various UG and PG programs. It has an affiliation with Maulana Abul Kalam Azad University of Technology (MAKAUT). This institute is approved by AICTE and has an accreditation from the NBA. Apart from B.Tech it also offers MBA and M.Tech programs. The admission process is merit-based, the college accepts WBJEE and JEE Mains scores in their counseling process."
392,P.P. Savani University,"P P. Savani University, shortly referred to as PPSU, is part of the P. P. Savani Group in Surat, Gujarat. The institute offers courses like B.Sc, B.Sc. Nursing, BA (H), BBA (H), B.Tech, B.Arch., B.Des., and Bachelor of Physiotherapy in its UG domain, and for PG courses, 2 specializations for M.Sc., and Integrated M.Sc. Admissions for some of the UG courses are based on entrance exams, while for the remainder of the courses, admissions are merit-based."
393,VIT University - [VIT- AP],"VIT AP University (VIT AP) is a private university that was established in 2017 and is situated in Amaravati, Andhra Pradesh. The university offers various UG, PG, and Ph.D. courses in Engineering, Management, Commerce, etc. Admission to VIT AP is done on the basis of marks obtained in the entrance examinations like VITEEE, VITMEE, VITREE, etc. The university was established as a sister institute of Vellore Institute of Technology (VIT) whose placement stats have been recorded in the Limca book of records for the highest number of recruitments through placements done from a single institution by IT sector companies for 7 years."
394,Usha Martin University - [UMU],"Usha Martin University (UMU), Ranchi is awarded ""Best Innovative University - East"" by the ASSOCHAM National Education Awards 2020 and “University of the Year for Faculty Excellence 2019”. UMU Ranchi offers degrees, diploma and research courses in the discipline of Engineering and Management."
395,Sangai International University - [SIU],"Sangai International University (SIU), Manipur is the first private university in the state. It is keen to do excellence in teaching, learning, research and developing leaders in many disciplines who make a difference globally. SIUM offers an unparalleled student experience and a generous program internationally"
396,Pranveer Singh Institute of Technology - [PSIT],"Pranveer Singh Institute of Technology, commonly known as PSIT Kanpur, is a private university situated in Kanpur, Uttar Pradesh. The institute is affiliated with Dr. A.P.J. Abdul Kalam Technical University, Lucknow, and approved by AICTE. In 2023, the Times of India ranked PSIT Kanpur with 32nd position out of 170 colleges in India, and in UP, the institute bagged the 7th position."
397,Rama University,"Rama University Kanpur is a private university that is an educational endeavor of Rama Group and was established in the year 2014. It is among the top universities in India for higher education. The university holds the approval of UGC & AICTE. Rama University comprises of three campuses offering  63 PG courses and 22 UG courses in the disciplines of Science and Agriculture, Technology, Humanities, Business Management, etc."
398,Birla Institute of Technology - [BIT],"Birla Institute of Technology Extension campus, Jaipur, commonly known as BIT Jaipur, was established in 1995 and is an Institute for Engineering, Management, and Applied Sciences. BIT Jaipur has recently placed a total of 84 students from the engineering stream, whereby the majority of students were from the CSE branch. The institute ranked 53 in Engineering college by NIRF, 2022."
399,Institute of Advanced Studies in Education - [IASE University],"The Institute of Advanced Studies in Education (IASE) is a deemed university in Sardarshahar, Rajasthan, India. The university is accredited as a ""B+"" institute by the NAAC. It is located in Churu District of Rajasthan. The University is affiliated with the Government of India. MHRD declared the institute Deemed to be University."
400,Jayoti Vidyapeeth Women's University - [JVWU],"Jayoti Vidyapeeth Women's University, Jaipur was established in 2008 under the Rajasthan State Legislature Act 17. The Jayoti Vidyapeeth Women’s University is India’s First Private State Women’s University. It is recognized by UGC and accredited by NAAC. The university has more than 30,000 enrollments. It offers 120+ academic programs. The university provides admission to regular, distance and research courses. Regular programs are offered for women only and distance education programs are available for men and women both. It has a . Admission to the university is based on merit in various national and state-level examinations. It also offers direct admission based on merit in the previous qualifying examination. The university has published 2300+ research papers and 59 patents and has filed more than 50 copyrights."
401,Anurag College of Engineering - [ACE],"Anurag College of Engineering, Ranga Reddy was established in 2008 by Nigama Educational Society. It aims to be reputed as one of the most preferred colleges for engineering education. The college is creating a resourceful and inspiring academic ambiance with world-class infrastructure. Anurag College of Engineering is located at Aushapur(V), Ghatkesar(M), Ranga Reddy(Dt.) which is 15 Km from Uppal, Hyderabad on the Hyderabad-Warangal Highway."
402,Agni College of Technology,"Agni College of Technology (ACT), Chennai, best Anna University affiliated Engineering College in Chennai, is ranked 38th out of 540 colleges in Tamil Nadu. The college has recently placed 188 students in top recruiting companies like Tata Consultancy Services, Health Watch Telediagnostics Pvt. Ltd., CSS Corp. Pvt. Ltd., Sutherland Global, IEQS, and Future General Total Insurance. The average salary package offered at ACT Chennai is INR 3 LPA and the highest salary package offered is up to INR 12 LPA."
403,Bengal College of Engineering and Technology - [BCET],"Bengal College of Engineering and Technology is located in Durgapur in West Bengal. It was established in 2001 under the aegis of SKS Educational and Social Trust. The college is affiliated to MAKAUT, Kolkata. The Bengal College of Engineering and Technology has been awarded the title of “Outstanding Engineering Institute (East)” for five times. The college offers various undergraduate and postgraduate courses in different fields of Engineering and Management."
404,Chandigarh Engineering College - [CEC] Landran,"Chandigarh Engineering College is an engineering institution located in Landran Punjab. It is affiliated to Punjab Technology university and has an experience of 19 years. It has been acknowledged for its eminent performance in academics by being awarded and bagging ranks by prestigious organisations such as NIRF. The most recent rank bagged by the institution by NIRF is 201 out of 300 in India, in the year of 2020."
405,Delhi Technical Campus - [DTC],"Delhi Technical Campus (DTC) is an educational body situated in Haryana, which provides courses at the UG and PG level in the fields of engineering and management. Established in 2011, the institute is affiliated to MD University, Rohtak, and the AICTE has recognized its courses. Apart from this, the college has also been accredited with an excellent A+ grade by the NAAC. The engineering program offers specialization in various streams like Computer Science, Mechanical, Electronics and Communication, Electrical and Electronics as well as Civil engineering. Apart from this, the institute has a management school that offers courses like BBA and MBA to eligible candidates and also houses an Applied Sciences and Humanities department."
406,Dr. B.C. Roy Engineering College - [BCREC],"Dr. B.C. Roy Engineering College (BCREC) Durgapur, West Bengal was established in the year 2000 and is one of the best engineering and Management colleges in Eastern India. BCREC has received the ‘Education Excellence 2019 Award in Engineering’ award from renowned Bengali News Channel, and ‘The Best Emerging Engineering College in India’ in 2018 by Today Research and Ratings (TRR)."
407,Erode Sengunthar Engineering College,"Erode Sengunthar Engineering college is a self-financing/ Private engineering institute located in Thudupathi near Erode, Tamil Nadu, India. This institution is Autonomous and was started in 1996 by The Erode Sengunthar Educational Trust with a vision of upliftment of urban and rural youth. It offers various UG, PG, doctoral programs in the field of engineering, technology, and Business Administration. 7 UG programs offered by this College are permanently affiliated to Anna University. The institute is approved by AICTE and also accredited with ‘A’ grade by NAAC."
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,"Geethanjali College of Engineering and Technology (GCET) is a private technical institution located in Hyderabad, Telangana. The institution has been granted autonomous status under UGC 2(f) and 12(b) and is affiliated to JNTU, Hyderabad. Further, GCET is accredited by NAAC with grade A+. Geethanjali College of Engineering and Technology ranked in the band 101-105 by NIRF Innovation for the year 2023. It also ranked in the band of excellent by Atal Ranking of Institutions on Innovation Achievements (ARIIA) of Ministry of Education (MoE)."
409,IILM University,"IILM Academy of Higher Learning (Greater Noida) was established in the year 2001 under the aegis of the Ram Krishan & Sons Charitable Trust. It is located in Greater Noida, Uttar Pradesh. The academy is affiliated to Dr. A.P.J. Abdul Kalam Technical University - (AKTU, Lucknow). It has been approved by AICTE and is accredited by NAAC. It is a private institute."
410,Inderprastha Engineering College - [IPEC],"Indraprastha Engineering College (IPEC) is one of the most prestigious private engineering colleges established in 2000 in Ghaziabad, Uttar Pradesh under the Shail Garg Shiksha Sansthan. IPEC Ghaziabad is NAAC and NBA accredited. Inderprastha Engineering College is affiliated with Dr. APJ Abdul Kalam Technical University, Lucknow and approved by AICTE. IPEC offers B.Tech in Computer Science and Engineering, Artificial Intelligence and Machine Learning, Data Science, Electronics and Communication Engineering, Information Technology and Mechanical Engineering and in Computer Science Engineering. Admission to B.Tech and M.Tech at depends upon merit in followed by UPTAC counselling and respectively. The campus of is spread over an area of The institute is ranked among the “colleges of Dr. APJ AKTU."
411,Kanpur Institute of Technology - [KIT],"Kanpur Institute of Technology is a private university located in Kanpur, Uttar Pradesh. It has a green and clean campus, spread over 25 acres. It is surrounded by the all important hubs of Kanpur and can be easily reached from any region. A team from the Indus Technical Education Society (ITES) established the institute in 2004. Kanpur Institute of Technology and Pharmacy and Kanpur Institute of Higher Education were later integrated with the institute."
412,Kashi Institute of Technology - [KIT],"Kashi Institute of Technology (KIT) was established in Varanasi in the year 2008. The college is approved by AICTE and affiliated with Dr. A.P.J. Abdul Kalam Technical University (AKTU). Education Excellence Awards, and National Education Excellence Awards are some of the awards given to KIT for its academic excellence. The institute offers various courses in engineering, management, and polytecnic courses. Computer Science & Engineering, CSE (AI & ML), Electronics & Communication Engineering, Electrical & Electronics Engineering, Mechanical Engineering, Civil Engineering, and Biotechnology are some specializations offered in the B. Tech course at Kashi Institute of Technology. Admission to the courses is made based on the merit score from the entrance exams such as JEE-Main, CAT, MAT, and KMET."
413,Lakshmi Narain College of Technology - [LNCT],"Lakshmi Narain College of Technology (LNCT), Jabalpur is a private college established in 2008 under the aegis of H. K. Kalchuri Education Society. The college is affiliated to RGPV, RDVV and approved by AICTE. The college offers various undergraduate, postgraduate and diploma courses in the discipline of Engineering & Management."
414,Meenakshi Sundararajan Engineering College - [MSEC],"Meenakshi Sundararajan Engineering College (MSEC) is located in Kodambakkam at Chennai. It is one of the most prestigious colleges in Tamil Nadu for engineering. The college is a part of KRS group of institutions. Since inception, it has been an institution with a Centre of Excellence. The institution has established industrial collaborations with the following industries:"
415,Nandha Engineering College - [NEC],"The Nandha engineering college was established in 2001 in the Erode district of Tamil Nadu. It is an autonomous institution accredited by NAAC and NBA. It was founded by Nandha institutions. The Institute is approved by the All India Council for Technical Education (AICTE). It offers B.E/B. Tech, M.E/M.Tech, MBA, MCA courses. Admission procedures for the courses are strictly based on TNEA and TANCET exams. Candidates can apply for admission to the college by filling the online application form."
416,Pragati Engineering College,"Pragati Engineering College, Surampalem was established in 2001 by the Gayatri Educational Society. The Institute is placed in an area of 25 acres of land giving wide academic and infrastructural facilities. It is affiliated to the Jawaharlal Nehru Technological University, Kakinada, accredited by NAAC and NBA, and approved by AICTE. It offers admissions at UG and PG levels with over 4857 students. Admissions are entrance based. The institute also offers good placement opportunities and the highest package reported was INR 29 LPA."
417,Prathyusha Engineering College - [PEC],"Prathyusha Engineering College (PEC) Thiruvallur is a reputed engineering college and the recipient of 5th Rank in 2017-18 University Results among 497 Engineering Colleges in Tamil Nadu. The mission of the college is to emerge as a premier Institution in the country by developing centers of excellence in frontier areas of Engineering, Technology and Management”. PEC, Thiruvallur is a self-financed Telugu Minority Institution approved by AICTE, New Delhi, affiliated to Anna University, Chennai accredited by NBA and a recipient of ISO certification. The institute has received NAAC Accreditation with A Grade for its state of the art infrastructure and best in class academic programs."
418,RCC Institute of Information Technology - [RCCIIT],"The RCC Institute of Information Technology [RCCIIT], established in 1999, is an institute of technology located in Kolkata, West Bengal. The Institute affiliated to the Maulana Abul Kalam Azad University of Technology in West Bengal is the result of a collaborative venture between the Ministry of IT, Govt of India, and the Department of Higher Education, Govt of West Bengal. RCCIIT has received NBA accreditation for EE, CSE, IT and ECE departments and is accredited Grade’B++” by NAAC. RCCIIT Kolkata is approved by the AICTE and NBA and has partnered with many reputed Foreign as well as Indian Universities like North Dakota State University (USA), University of Regina (Canada), College of Medicine Swansea University (UK), University of Illinois, Chicago (USA), University of Buffalo (USA), Texas Tech University, different IITs (Kharagpur, Kanpur, Roorkee, Guwahati), IIM (Kozhikode), IIEST, ISM, Jadavpur University, etc."
419,RMD Engineering College,"RMD College is a Co-Educational engineering college in Tamil Nadu, India, funded by the Sri Swaminatha Naidu Educational Trust. It was established in 2000 and is considered one of the best state engineering colleges located in Thiruvallur. According to the NIRF rankings 2023, RMD College was placed 8th in Tamil Nadu and 258th out of 394 colleges in India. It is an AICTE-approved institution. RMD College offers Degree courses in full-time mode, comprising 7 UG and 1 PG course."
420,Sambhram Institute of Technology - [SAIT],"Sambhram Institute of Technology is located in East Bangalore which was established in the year 2001. It is approved by AICTE and accredited by the NBA. The institute is affiliated to Visvesvaraya Technological University. The campus is spread over 10 acres. The institute provides 1 UG course and 3 PG courses in Engineering, Business Management and is ranked among the top Engineering Institutions in Bangalore. Current students that are taken annually for UG and PG programs are around 1200 in number. Entrance exams like GATE, PGCET are accepted at the institute."
421,Sphoorthy Engineering College - [SPHN],"Sphoorthy Engineering College, established in 2004 is affiliated to the Jawaharlal Nehru Technological University (JNTU), Hyderabad and is approved by AICTE and UGC. It is accredited with “A Grade” by NAAC. The college offers undergraduate courses in Technology across various specializations. Candidates seeking admission to UG courses have to appear for AP EAMCET. The college is well known for its innovative spirit, intensive research and hands-on approach to solving real-world problems, producing skillful engineers who are well-received by industry and academia."
422,Sri Eshwar College of Engineering - [SECE],"Sri Eshwar College of Engineering, Coimbatore, established in 2008, is one of the finest engineering colleges out there in Coimbatore. The institute offers BE/B. Tech and ME/ M.Tech courses over various disciplines. Some of the salient features of the college are industry powered laboratories, start-up accelerators, and the college's own IT Center. The college provides a lot of support to the students in the form of Value Added Courses. They also have a center for International Relations, Higher Education, Entrepreneurship Development, Industry Institution Interaction, Social welfare, and IEEE Chapter."
423,SJB Institute of Technology - [SJBIT],
424,The Oxford College of Engineering,"The Oxford College of Engineering, Bengaluru was established in 1974 and is an engineering institute that provides several courses at the U.G., P.G., and Doctorate level to eligible candidates. The college comes under the  Visvesvaraya Technological University. The College of Engineering has received ""A"" grade accreditation from the NBA and NAAC, approval from AICTE and recognition as a research center from VTU. Furthermore, the Government of Karnataka recognizes the college as an educational body of significance situated in the state. Admission to all the programs offered is made purely based on merit and depends on the candidate's score in various entrance examinations."
425,Bhilai Institute of Technology - [BITR],"The first kind of Bhilai Institute of Technology came into presence on the July month of 1986. Bhilai Institute of Technology, Raipur (BITR) was founded in the year 2009 as the successor institution by the BIT Trust (Seth BalKrishan Memorial), which already regulates the institution at Durg. It offers Diploma, UG and PG level courses in the Engineering discipline. It is one of the great sorts after engineering college organized in Kendri on the rapidly expanding heart of the Raipur city. It has bagged few rankings."
426,Jaipur Engineering College - [JEC],"Jaipur Engineering College (JEC Jaipur) is one of the leading facilities accredited by AICTE. The institute offers a total of 12 UG and PG courses in multiple specializations out of which B.Tech and M.Tech courses are popular. This university is the state's first nodal center of NITTTR, Chandigarh. Additionally, it is the primary remote center of IIT Bombay & IIT Kharagpur. Admission to the college is both merit and entrance-based. The admission process for B.Tech programs is based on JEE Main/REAP whereas the admission process for the M.Tech program is merit-based. Applicants may apply through the official website or they may also visit the campus in person to fill the application form. The institute also provides a variety of scholarships – merit-based, need-based, student-specific, career-specific and college-specific to encourage students as well as aid them for the purpose of learning."
427,Vidyavardhaka College of Engineering - [VVCE],"Vidyavardhaka College of Engineering (VVCE) is one of Karnataka's premier engineering colleges, founded in 1997 by the Vidyavardhaka Sangha in Mysuru, and has over 100 recruitment partners. The Karnataka government has recognized VVCE, an independent institution connected to Visvesvaraya Technological University (VTU), Belagavi, and accredited by AICTE and UGC, New Delhi. VVCE is accredited by NBA (CSE, ISE, ME, EEE, ECE, CV) and NAAC with an ""A"" rating. Vidyavardhaka College of Engineering (VVCE), Mysuru, sprawling on 23 acres of land, provides INR 20 Lac Per Annum scholarships to needy & deserving students every year."
428,Vidya Jyothi Institute of Technology - [VJIT],"Vidya Jyothi Institute of Technology was established in 1998 by Vidya Jyothi Educational Society. It is affiliated to Jawaharlal Nehru Technological University, Hyderabad and approved by AICTE. The college offers undergraduate and postgraduate courses in the discipline of Engineering & Technology in various specializations. VJIT also offers a postgraduate course in management."
429,GITAM,"The Gandhi Institute of Technology and Management, commonly known as GITAM, Visakhapatnam is one of the best private engineering Deemed to be University established in 1980. It was previously known as GITAM College. GITAM has been approved by UGC. It has been granted the status of deemed to be university in 2007. GITAM aims to impart futuristic and comprehensive education of global standards and is responsible for imparting education in the field of Engineering and Technology."
430,Modern Vidya Niketan - [MVN University],"Modern Vidya Niketan (MVN) University is a private institution established in 2012 by the State Legislature. It is located in Delhi - Agra National Highway, Delhi NCR, Haryana. Modern Vidya Niketan Society acts as the managing body of the institution providing best facilities like adequate classrooms, well equipped laboratories, modern gym facilities, hostel, hygienic and clean cafeteria, and a Library. It offers various courses under UG, PG, and doctoral levels. This institution believes in creating leaders in higher education. Also, regular industrial visits and collaboration with top companies increases the chances of employment for the students."
431,Arni University,"Arni University is a private university located in Kangra, Himachal Pradesh. Established in 2009, Arni University is approved and recognized by various reputed institutions like HP-PERC, PCI, ISO, etc. Also, the institute offers scholarship of up to 100% The university has 10 schools of study under it and offers Undergraduate and Postgraduate programs in the streams of Technology, Management, Commerce, Medicine, Arts, and Science. Admission to these courses is both merit and entrance-based i.e. AUCET. Students from Arni University are placed in well-reputed and prestigious companies like Allianz, Hero Cycles, Honda, ICICI Bank, ITC Ltd., Cease Fire, etc."
432,Bahra University - [BU],"Bahra University, approved by University Grants Commission (UGC) is located in the Shimla Hills, Solan, and was established in the year 2011. The University is one of the leading members of the Association of Indian Universities (AIU). Bahra University has been ranked as the Number 1 University in Himachal Pradesh and has grabbed the 13th position in India by Silicon Valley 2014."
433,Amrita Vishwa Vidyapeetham Bengaluru Campus,"Amrita Vishwa Vidyapeetham, Bangalore is ranked 8th Best University in India by NIRF, Govt of India and awarded ‘Institution of Eminence’ tag to Amrita Vishwa Vidyapeetham University to emerge as World-Class Teaching and Research Institution by Government of India. Amrita Vishwa Vidyapeetham University offers degree courses in the discipline of Engineering, Communication, Data Science, etc. Admissions are done on the basis of merit and the cutoff criteria of the institute."
434,Sangam University - [SU],"Sangam University was established in 2012 by the Badral Soni Charitable Trust in Bhilwara, Rajasthan. It is among the top ten private engineering Colleges in Rajasthan and has been approved by multiple governmental associations. The university offers a total of 12 undergraduate, 5 post graduate, and 3 diploma, in addition to some doctoral and post-doctoral courses. Graduates from the university are placed in companies such as HDFC Bank, Indusind Bank, Wipro, Cognizant and Accenture, etc. All the admissions at the college entrance-based. Applicants have only an offline option to apply for the admission at different schools of Sangam University."
435,Periyar Maniammai Institute of Science and Technology - [PMIST],"Periyar Maniammai Institute of Science & Technology (PMIST), Thanjavur is a deemed to be university established in 2007. The institute is spread over 216 acres of land and is an energy-efficient, pollution-free, zero-waste, and well-laid campus. PMIST courses include undergraduate and postgraduate courses in the discipline of Architecture, Computer Science & Engineering, Science, Education, etc. PMIST admissions are based on national-level entrance exams like JEE-Main, NATA, GATE, CAT, etc."
436,Shri Venkateshwara University - [SVU],"Shri Venkateshwara University (SVU) is spread over a 70-acre area in the Amroha district of Uttar Pradesh. SVU was established in the year 2010 by the Sri Bankey Bihari Educational & Welfare Trust in 2010 through UP Govt Act 26 of 2010. The University offers a wide array of courses at the undergraduate, postgraduate and doctoral level. The curriculum designed by the university is exhaustive as it offers courses in multiple disciplines and allows the students to gain deep insight into the study-related concepts."
437,St Joseph College of Engineering,"St. Joseph College of Engineering, established in 1994, is a private institute located in Chennai, Tamil Nadu. The college is affiliated to Anna University, approved by AICTE and accredited by NBA and NAAC. St. Joseph College of Engineering provided UG and PG courses across engineering and management streams. At UG level, the institute provides BE/B.Tech and at PG level, it provides ME/M.Tech and MBA. Admissions to all courses are entrance based."
438,Lakshmi Narain College of Technology - [LNCT],"Established in 1993, Lakshmi Narain College of Technology (LNCT), Bhopal is premier institute in MP. The college offers 13 undergraduate and 9 postgraduate programs, all offered in a full-time mode in the field of Engineering, Business and Management Studies, IT, and software."
